Query,Ambiguity Type,Retrieved,Retrieved Count,Context Length,Retrieved Context,Ground Truth,Prediction,Similarity,Expert1,Expert2,Final Label,,,,,,
Are the Trikut Buru hills located within Deoghar district or Dumka district?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"The Trikut Buru hills are located within Deoghar district, about 15 kilometres from Deoghar city."," The Trikut Buru hills may be located within either Deoghar district or Dumka district, as both districts border each other and contain areas with similar terrain. However, without specific data or a defined spatial scale, it is impossible to definitively determine which district the hills are within based on this information alone.",0.8226,Not Correct,Not Correct,Halucinate,1,1,334,97,3.443298969,1
Are the Trikut Buru peaks included in a single notified protected area?,Spatial Granularity Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"The Trikut Buru hills are part of a reserved forest area notified under the Jharkhand Forest Department, but are not within a single wildlife sanctuary or national park boundary.", It is indeterminate whether the Trikut Buru peaks are included within a single notified protected area due to unspecified spatial scale requirements.,0.6094,Not Correct,Not Correct,Halucinate,0,0,150,178,0.842696629,1
Are there any budget hotels adjacent to Dumka Sadar Hospital?,Relational Semantic Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,"Yes, several budget lodges and guesthouses are located within 500 metres of Dumka Sadar Hospital, mainly along the Hospital Road area."," There might be budget hotels in close proximity or nearby the Dumka Sadar Hospital, but due to ambiguity in the spatial relationship and extent, a precise answer cannot be definitively provided without additional context or specific location details.",0.8044,Correct,Correct,Ok,1,1,251,134,1.873134328,0
Are there any forest rest houses near the foot of Marang Buru?,Relational Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"Yes, there is a forest rest house near Marang Buru, managed by the Jharkhand Forest Department, located on the approach route from Dumka.", Forest rest houses that are located at or near the base of Mount Marang Buru.,0.7892,Correct,Correct,Ok,1,1,78,137,0.569343066,0
Are there villages reachable only by foot from Trikut Buru?,Relational Semantic Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,There are no permanent villages that are exclusively reachable by foot from Trikut Buru; the nearest villages are connected by unpaved motorable tracks.," Potentially, there could be villages accessible solely on foot from Trikut Buru if the available paths do not include roads or other forms of mechanized transportation. However, without specific information about the area's topography and existing transport infrastructure, it is impossible to definitively confirm or deny this claim.",0.8358,Correct,Not Correct,Ok,1,1,335,152,2.203947368,0
Did the Mansarovar pond ever go completely dry during droughts in the past?,Temporal Spatial Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"No, Mansarovar pond has not been recorded as going completely dry; it is partially fed by groundwater and has retained water even during severe drought periods."," Yes, it's possible that Mansarovar pond has gone completely dry during past drought periods due to varying precipitation patterns and climate conditions.",0.9207,Correct,Correct,Ok,1,1,154,160,0.9625,0
Distance between base and main peak of Trikut Buru?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The walking distance from the base to the main peak of Trikut Buru along the trek route is about 2 kilometres.," The distance between the base and main peak of Trikut Buru is not clearly defined due to ambiguity in spatial relationship and boundary or extent of the feature. To obtain an accurate measurement, a precise definition or reference point for both the base and main peak is required.",0.7278,Not Correct,Not Correct,Halucinate,0,1,282,110,2.563636364,1
Distance between Deoghar and Dumka?,"Spatial Granularity Ambiguity | Relational Geometric Ambiguity, Geometric Result Ambiguity",N/A,N/A,N/A,N/A,The distance between Deoghar and Dumka is approximately 65-70 kilometres by road and about 55 kilometres as the crow flies., The distance between Deoghar and Dumka cannot be determined as there is no specified spatial scale or clear boundary definition for both locations.,0.8383,Correct,Correct,Ok,1,1,148,123,1.203252033,0
Distance from Deoghar railway station to the edge of the district?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The straight-line distance from Deoghar railway station to the nearest district boundary (east/southeast toward Dumka) is about 18 to 20 kilometres.," The distance from Deoghar railway station to the edge of Deoghar District's boundary is required. However, due to ambiguity in the provided information regarding spatial extent and scale, it might be challenging to provide an exact measurement. A more specific definition or map of the district's boundaries would aid in determining the distance accurately.",0.7726,Correct,Not Correct,Ok,1,1,358,148,2.418918919,0
Distance from Deoghar to Dumka?,Spatial Granularity Ambiguity | Relational Geometric Ambiguity,N/A,N/A,N/A,N/A,The road distance from Deoghar to Dumka is about 65 to 70 kilometres; the straight-line distance is about 55 kilometres., The distance between Deoghar and Dumka cannot be determined accurately due to the lack of a clear spatial scale in the query.,0.7427,Not Correct,Correct,Ok,0,1,126,120,1.05,0
Distance from Dumka Sadar Hospital to Deoghar?,Relational Geometric Ambiguity | Spatial Granularity Ambiguity,N/A,N/A,N/A,N/A,The road distance from Dumka Sadar Hospital to Deoghar (Baidyanathdham area) is approximately 65 to 70 kilometres.," The distance between Dumka Sadar Hospital and Deoghar cannot be determined without specifying a specific location for each place (e.g., the exact address or coordinates) or a referential context (e.g., which road network to use).",0.8025,Correct,Not Correct,Ok,1,1,230,114,2.01754386,0
"Does ""Deoghar"" refer to the municipal corporation area or the entire district?",Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,"""Deoghar"" can refer to either the Deoghar Municipal Corporation area (the city) or the entire Deoghar district, depending on context.", Deoghar refers to the entire district.,0.855,Correct,Correct,Ok,1,1,39,133,0.293233083,0
"Does ""Parasnath"" in this context refer to the hill or the Jain temple on it?",Toponymical Semantic Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,"""Parasnath"" in general usage may refer either to the hill (Parasnath Hill) or the Jain temple complex (Sammet Shikharji) located atop it; context determines which is meant."," The reference in this context is likely to the Parasnath Hill, as it is a geographical feature and the Jain temple is located atop that hill.",0.7422,Not Correct,Correct,Ok,0,1,142,172,0.825581395,0
"Does ""Trikut"" denote a hill, a village, or a police station?",Toponymical Semantic Ambiguity | Location Geometry Type Ambiguity,N/A,N/A,N/A,N/A,"""Trikut"" may denote the Trikut Buru hill, the nearby village of Trikutpar, or a local police outpost named ""Trikut"" located in the area; context determines which entity is meant."," Trikut can refer to any of the following: a hill (as in Trikut Hills in Maharashtra, India), a village (as in several villages named Trikut in different regions of India), or a police station (in the context of certain districts or states where Trikut Police Station exists). However, without additional context, it is impossible to definitively determine which interpretation applies.",0.9162,Correct,Not Correct,Ok,1,1,386,178,2.168539326,0
Does Baidyanathdham fall under Deoghar urban agglomeration or rural jurisdiction?,Spatial Granularity Ambiguity | Toponymical Semantic Ambiguity,N/A,N/A,N/A,N/A,Baidyanathdham falls within the Deoghar Municipal Corporation area and is considered part of the Deoghar urban agglomeration.," Baidyanathdham falls under the Deoghar urban jurisdiction, as it is part of the Deoghar Municipal Corporation.",0.9413,Correct,Correct,Ok,1,1,111,125,0.888,0
Has the boundary of Baidyanathdham changed?,Temporal Spatial Ambiguity | Locational Extent Ambiguity,N/A,N/A,N/A,N/A,"The boundary of the Baidyanathdham temple complex was expanded during the 20th century to accommodate additional subsidiary temples and pilgrim facilities, particularly in the post-1950s period."," To accurately determine if the boundary of Baidyanathdham has changed, a specific time period needs to be defined. Without specifying a timeframe, it is impossible to provide a definitive answer.",0.5176,Not Correct,Not Correct,Halucinate,0,0,196,194,1.010309278,1
Height difference between the three peaks of Trikut Buru?,Relational Geometric Ambiguity | Spatial Part Ambiguity,N/A,N/A,N/A,N/A,The height difference between the highest and lowest of the three Trikut Buru peaks is approximately 50 to 80 metres., The height difference among the three peaks of Trikut Buru is undefined due to ambiguity in the specified spatial relationship and boundary or extent of the peaks.,0.7951,Correct,Correct,Ok,1,1,164,117,1.401709402,0
