Query,Primary Category,Secondary Categories,Ground Truth
Are the Trikut Buru hills located within Deoghar district or Dumka district?,Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," The Trikut Buru hills are located within Deoghar district, about 15 kilometres from Deoghar city."
Are the Trikut Buru peaks included in a single notified protected area?,Spatial Granularity Ambiguity,Spatial Part Ambiguity," The Trikut Buru hills are part of a reserved forest area notified under the Jharkhand Forest Department, but are not within a single wildlife sanctuary or national park boundary."
Are there any budget hotels adjacent to Dumka Sadar Hospital?,Relational Semantic Ambiguity,Relational Geometric Ambiguity," Yes, several budget lodges and guesthouses are located within 500 metres of Dumka Sadar Hospital, mainly along the Hospital Road area."
Are there any forest rest houses near the foot of Marang Buru?,Relational Semantic Ambiguity,Spatial Part Ambiguity," Yes, there is a forest rest house near Marang Buru, managed by the Jharkhand Forest Department, located on the approach route from Dumka."
Are there villages reachable only by foot from Trikut Buru?,Relational Semantic Ambiguity,Location Geometry Type Ambiguity, There are no permanent villages that are exclusively reachable by foot from Trikut Buru; the nearest villages are connected by unpaved motorable tracks.
Did the Mansarovar pond ever go completely dry during droughts in the past?,Temporal Spatial Ambiguity,Location Geometry Type Ambiguity," No, Mansarovar pond has not been recorded as going completely dry; it is partially fed by groundwater and has retained water even during severe drought periods."
Distance between base and main peak of Trikut Buru?,Relational Geometric Ambiguity,Spatial Part Ambiguity, The walking distance from the base to the main peak of Trikut Buru along the trek route is about 2 kilometres.
Distance between Deoghar and Dumka?,Spatial Granularity Ambiguity,"Relational Geometric Ambiguity, Geometric Result Ambiguity", The distance between Deoghar and Dumka is approximately 65-70 kilometres by road and about 55 kilometres as the crow flies.
Distance from Deoghar railway station to the edge of the district?,Relational Geometric Ambiguity,Spatial Granularity Ambiguity, The straight-line distance from Deoghar railway station to the nearest district boundary (east/southeast toward Dumka) is about 18 to 20 kilometres.
Distance from Deoghar to Dumka?,Spatial Granularity Ambiguity,Relational Geometric Ambiguity, The road distance from Deoghar to Dumka is about 65 to 70 kilometres; the straight-line distance is about 55 kilometres.
Distance from Dumka Sadar Hospital to Deoghar?,Relational Geometric Ambiguity,Spatial Granularity Ambiguity, The road distance from Dumka Sadar Hospital to Deoghar (Baidyanathdham area) is approximately 65 to 70 kilometres.
"Does ""Deoghar"" refer to the municipal corporation area or the entire district?",Spatial Granularity Ambiguity,Toponymical Semantic Ambiguity," ""Deoghar"" can refer to either the Deoghar Municipal Corporation area (the city) or the entire Deoghar district, depending on context."
